fighter,weight_class,elo,record,fights,wins,losses,draws,win_rate,finish_rate,last_fight,rank
Kenny Robertson,Welterweight,1507.7,4-5-0,9,4,5,0,44.4,75.0,2016-09-17,135
Ramazan Emeev,Welterweight,1507.3,4-3-0,7,4,3,0,57.1,0.0,2022-06-11,136
Matt Serra,Welterweight,1507.2,4-5-0,9,4,5,0,44.4,50.0,2010-09-25,137
Mike Perry,Welterweight,1506.9,7-8-0,15,7,8,0,46.7,57.1,2021-04-10,138
Jason High,Welterweight,1506.8,2-2-0,4,2,2,0,50.0,50.0,2013-11-16,139
Chad Laprise,Welterweight,1506.8,3-2-0,5,3,2,0,60.0,66.7,2018-12-08,139
Bartosz Fabinski,Welterweight,1506.5,2-1-0,3,2,1,0,66.7,0.0,2018-11-17,141
Erick Silva,Welterweight,1506.0,7-8-0,15,7,8,0,46.7,100.0,2017-12-16,142
Aleksei Kunchenko,Welterweight,1506.0,2-2-0,4,2,2,0,50.0,0.0,2020-03-14,142
Dustin Hazelett,Welterweight,1505.0,4-4-0,8,4,4,0,50.0,100.0,2010-08-07,144
Cathal Pendred,Welterweight,1504.5,3-2-0,5,3,2,0,60.0,0.0,2015-10-24,145
Song Kenan,Welterweight,1503.8,6-5-0,11,6,5,0,54.5,50.0,2024-11-23,146
TJ Waldburger,Welterweight,1503.4,4-4-0,8,4,4,0,50.0,75.0,2014-02-22,147
Chance Rencountre,Welterweight,1502.4,2-2-0,4,2,2,0,50.0,50.0,2019-11-02,148
Laureano Staropoli,Welterweight,1502.2,2-2-0,4,2,2,0,50.0,0.0,2020-08-08,149
Ismail Naurdiev,Welterweight,1502.2,2-2-0,4,2,2,0,50.0,0.0,2020-02-29,149
BJ Penn,Welterweight,1502.1,2-5-1,8,2,5,1,25.0,100.0,2012-12-08,151
Amir Sadollah,Welterweight,1501.7,5-5-0,10,5,5,0,50.0,20.0,2014-09-20,152
James Wilks,Welterweight,1501.5,2-2-0,4,2,2,0,50.0,50.0,2010-10-16,153
Chris Clements,Welterweight,1501.5,2-2-1,5,2,2,1,40.0,50.0,2015-04-25,153
Dennis Hallman,Welterweight,1501.2,3-3-0,6,3,3,0,50.0,66.7,2011-08-06,155
Lance Benoist,Welterweight,1500.9,2-2-0,4,2,2,0,50.0,0.0,2014-06-07,156
Tamdan McCrory,Welterweight,1500.6,3-3-0,6,3,3,0,50.0,66.7,2009-08-08,157
Kevin Jousset,Welterweight,1500.1,2-2-0,4,2,2,0,50.0,50.0,2025-02-08,158
Ildemar Alcantara,Welterweight,1498.6,2-2-0,4,2,2,0,50.0,0.0,2014-07-05,159
Luke Jumeau,Welterweight,1498.2,2-2-0,4,2,2,0,50.0,0.0,2019-10-05,160
Nick Osipczak,Welterweight,1498.0,2-3-0,5,2,3,0,40.0,100.0,2010-11-13,161
Nordine Taleb,Welterweight,1497.9,6-5-0,11,6,5,0,54.5,33.3,2019-09-07,162
Luke Cummo,Welterweight,1497.3,3-4-0,7,3,4,0,42.9,66.7,2008-08-09,163
Akihiro Gono,Welterweight,1497.2,1-2-0,3,1,2,0,33.3,100.0,2009-01-31,164
Shonie Carter,Welterweight,1497.0,2-2-0,4,2,2,0,50.0,50.0,2006-12-13,165
Ben Askren,Welterweight,1496.5,1-2-0,3,1,2,0,33.3,100.0,2019-10-26,166
Shinsho Anzai,Welterweight,1495.4,2-2-0,4,2,2,0,50.0,50.0,2018-06-23,167
Abubakar Nurmagomedov,Welterweight,1494.9,2-2-0,4,2,2,0,50.0,0.0,2023-06-03,168
Carlos Eduardo Rocha,Welterweight,1494.6,1-2-0,3,1,2,0,33.3,100.0,2012-06-08,169
Pascal Krauss,Welterweight,1493.6,2-2-0,4,2,2,0,50.0,0.0,2013-08-31,170
Keita Nakamura,Welterweight,1493.4,4-6-0,10,4,6,0,40.0,50.0,2019-04-20,171
Benji Radach,Welterweight,1493.0,1-1-1,3,1,1,1,33.3,0.0,2002-09-27,172
Daniel Roberts,Welterweight,1492.8,3-4-0,7,3,4,0,42.9,66.7,2012-01-20,173
Steve Bruno,Welterweight,1492.2,1-2-0,3,1,2,0,33.3,100.0,2009-02-07,174
James Moontasri,Welterweight,1492.0,1-2-0,3,1,2,0,33.3,100.0,2016-12-17,175
Sultan Aliev,Welterweight,1491.7,2-2-0,4,2,2,0,50.0,0.0,2019-04-20,176
Mike Pyle,Welterweight,1491.5,10-9-0,19,10,9,0,52.6,70.0,2018-03-03,177
Carlos Newton,Welterweight,1491.0,2-3-0,5,2,3,0,40.0,100.0,2004-01-31,178
Miguel Baeza,Welterweight,1490.7,3-4-0,7,3,4,0,42.9,100.0,2024-06-08,179
James Head,Welterweight,1490.6,2-2-0,4,2,2,0,50.0,50.0,2013-08-28,180
Igor Araujo,Welterweight,1489.8,2-2-0,4,2,2,0,50.0,0.0,2015-07-15,181
Paul Taylor,Welterweight,1489.4,3-4-0,7,3,4,0,42.9,33.3,2009-11-14,182
Michel Prazeres,Welterweight,1489.3,2-3-0,5,2,3,0,40.0,50.0,2021-06-26,183
Joe Riggs,Welterweight,1488.8,3-4-0,7,3,4,0,42.9,66.7,2015-04-25,184
Peter Sobotta,Welterweight,1488.8,4-6-0,10,4,6,0,40.0,50.0,2020-07-25,184
Mounir Lazzez,Welterweight,1488.2,2-2-0,4,2,2,0,50.0,0.0,2023-01-21,186
Yoshiyuki Yoshida,Welterweight,1488.1,2-3-0,5,2,3,0,40.0,100.0,2010-05-08,187
Zak Ottow,Welterweight,1487.7,4-4-0,8,4,4,0,50.0,25.0,2019-03-09,188
Hyun Gyu Lim,Welterweight,1487.4,3-4-0,7,3,4,0,42.9,100.0,2017-09-22,189
Seth Baczynski,Welterweight,1486.9,5-5-0,10,5,5,0,50.0,60.0,2015-04-11,190
Yoshihiro Akiyama,Welterweight,1486.3,1-2-0,3,1,2,0,33.3,0.0,2015-11-28,191
Gabe Green,Welterweight,1486.1,2-3-0,5,2,3,0,40.0,50.0,2023-05-13,192
Daichi Abe,Welterweight,1486.0,1-2-0,3,1,2,0,33.3,0.0,2018-06-23,193
Roan Carneiro,Welterweight,1485.7,3-4-0,7,3,4,0,42.9,33.3,2017-02-11,194
Justin Edwards,Welterweight,1485.6,2-3-0,5,2,3,0,40.0,50.0,2013-08-28,195
Sage Northcutt,Welterweight,1485.3,1-2-0,3,1,2,0,33.3,100.0,2018-07-14,196
Tony DeSouza,Welterweight,1485.2,3-3-0,6,3,3,0,50.0,66.7,2007-12-29,197
Simeon Thoresen,Welterweight,1485.2,1-2-0,3,1,2,0,33.3,100.0,2013-01-26,197
Jake Hecht,Welterweight,1484.0,1-2-0,3,1,2,0,33.3,100.0,2012-06-08,199
Bassil Hafez,Welterweight,1483.5,1-2-0,3,1,2,0,33.3,0.0,2024-11-16,200
Jason Von Flue,Welterweight,1483.4,1-2-0,3,1,2,0,33.3,100.0,2006-08-17,201
Kyle Noke,Welterweight,1483.2,3-4-0,7,3,4,0,42.9,66.7,2016-11-26,202
Pawel Pawlak,Welterweight,1483.2,1-2-0,3,1,2,0,33.3,0.0,2015-07-18,202
Billy Ray Goff,Welterweight,1482.7,1-2-0,3,1,2,0,33.3,100.0,2025-05-31,204
Luan Chagas,Welterweight,1482.5,1-2-1,4,1,2,1,25.0,100.0,2018-04-21,205
Matt Arroyo,Welterweight,1482.4,1-2-0,3,1,2,0,33.3,100.0,2009-01-31,206
Ben Alloway,Welterweight,1482.4,1-2-0,3,1,2,0,33.3,100.0,2013-08-28,206
Hector Urbina,Welterweight,1482.3,1-2-0,3,1,2,0,33.3,100.0,2016-09-24,208
Donald Cerrone,Welterweight,1481.7,6-8-1,15,6,8,1,40.0,100.0,2022-07-02,209
Augusto Montano,Welterweight,1481.5,1-2-0,3,1,2,0,33.3,100.0,2016-09-17,210
Jesse Lennox,Welterweight,1481.3,1-2-0,3,1,2,0,33.3,100.0,2010-06-12,211
Vik Grujic,Welterweight,1480.9,1-2-0,3,1,2,0,33.3,100.0,2015-05-09,212
Renato Verissimo,Welterweight,1480.0,1-2-0,3,1,2,0,33.3,0.0,2004-10-22,213
Kevin Burns,Welterweight,1479.7,2-3-0,5,2,3,0,40.0,100.0,2009-12-12,214
Greg Soto,Welterweight,1479.7,1-2-0,3,1,2,0,33.3,0.0,2011-01-01,214
Bojan Velickovic,Welterweight,1479.4,1-3-1,5,1,3,1,20.0,100.0,2017-11-18,216
Duane Ludwig,Welterweight,1479.3,3-3-0,6,3,3,0,50.0,33.3,2012-09-29,217
Tarec Saffiedine,Welterweight,1479.0,2-4-0,6,2,4,0,33.3,0.0,2017-06-17,218
Tim Means,Welterweight,1478.5,13-12-1,26,13,12,1,50.0,53.8,2024-10-05,219
Matthew Semelsberger,Welterweight,1478.3,5-6-0,11,5,6,0,45.5,40.0,2024-11-09,220
Ange Loosa,Welterweight,1478.3,2-3-1,6,2,3,1,33.3,0.0,2025-06-14,220
Jared Gooden,Welterweight,1478.0,2-5-0,7,2,5,0,28.6,100.0,2024-10-12,222
DaMarques Johnson,Welterweight,1477.5,4-5-0,9,4,5,0,44.4,100.0,2012-08-04,223
Papy Abedi,Welterweight,1477.3,1-2-0,3,1,2,0,33.3,0.0,2013-04-06,224
Dwight Grant,Welterweight,1477.2,3-4-0,7,3,4,0,42.9,33.3,2022-04-23,225
Nicholas Musoke,Welterweight,1477.0,2-3-0,5,2,3,0,40.0,0.0,2017-05-28,226
Tony Ferguson,Welterweight,1476.8,1-2-0,3,1,2,0,33.3,100.0,2024-08-03,227
Emil Meek,Welterweight,1476.6,1-3-0,4,1,3,0,25.0,0.0,2020-02-22,228
Christian Aguilera,Welterweight,1476.5,1-2-0,3,1,2,0,33.3,100.0,2021-05-08,229
Pete Rodriguez,Welterweight,1476.4,1-2-0,3,1,2,0,33.3,100.0,2024-02-03,230
Dominique Steele,Welterweight,1476.3,1-3-0,4,1,3,0,25.0,100.0,2017-06-10,231
Mickey Gall,Welterweight,1475.8,6-7-0,13,6,7,0,46.2,83.3,2024-11-16,232
Rory Markham,Welterweight,1475.6,1-2-0,3,1,2,0,33.3,100.0,2010-03-27,233
Jonathan Goulet,Welterweight,1475.5,4-5-0,9,4,5,0,44.4,75.0,2010-05-08,234
John Howard,Welterweight,1475.5,6-7-0,13,6,7,0,46.2,33.3,2015-12-10,234
Danny Roberts,Welterweight,1475.3,7-7-0,14,7,7,0,50.0,57.1,2023-07-22,236
Charlie Brenneman,Welterweight,1475.1,4-4-0,8,4,4,0,50.0,0.0,2012-09-22,237
Alex Oliveira,Welterweight,1475.1,9-9-1,19,9,9,1,47.4,55.6,2022-03-05,237
Gilbert Urbina,Welterweight,1475.0,1-2-0,3,1,2,0,33.3,100.0,2025-08-09,239
Alex Karalexis,Welterweight,1474.5,1-2-0,3,1,2,0,33.3,100.0,2006-01-16,240
AJ Fletcher,Welterweight,1474.5,1-3-0,4,1,3,0,25.0,100.0,2023-09-23,240
Pete Spratt,Welterweight,1473.8,3-4-0,7,3,4,0,42.9,100.0,2007-06-12,242
Ryo Chonan,Welterweight,1473.8,1-3-0,4,1,3,0,25.0,0.0,2009-04-18,242
Sasha Palatnikov,Welterweight,1472.7,1-2-0,3,1,2,0,33.3,100.0,2021-08-21,244
Jason Witt,Welterweight,1472.6,2-3-0,5,2,3,0,40.0,50.0,2022-02-05,245
Nathan Coy,Welterweight,1471.6,1-2-0,3,1,2,0,33.3,0.0,2017-04-15,246
Carlo Pedersoli Jr.,Welterweight,1471.0,1-2-0,3,1,2,0,33.3,0.0,2019-02-23,247
Matt Dwyer,Welterweight,1470.4,1-3-0,4,1,3,0,25.0,100.0,2016-01-30,248
Gasan Umalatov,Welterweight,1468.6,1-3-0,4,1,3,0,25.0,0.0,2015-11-07,249
Dhiego Lima,Welterweight,1468.0,4-6-0,10,4,6,0,40.0,25.0,2021-06-19,250
Mike Jackson,Welterweight,1468.0,1-2-1,4,1,2,1,25.0,0.0,2022-10-15,250
Orion Cosce,Welterweight,1467.6,1-2-0,3,1,2,0,33.3,0.0,2023-05-20,252
Clay Harvison,Welterweight,1467.5,1-2-0,3,1,2,0,33.3,0.0,2011-11-12,253
Josh Neer,Welterweight,1467.2,4-6-0,10,4,6,0,40.0,75.0,2013-02-23,254
David Zawada,Welterweight,1467.2,1-4-0,5,1,4,0,20.0,100.0,2021-09-04,254
Sean Spencer,Welterweight,1467.1,3-4-0,7,3,4,0,42.9,0.0,2016-09-10,256
Chris Cope,Welterweight,1466.9,1-2-0,3,1,2,0,33.3,0.0,2012-02-04,257
Court McGee,Welterweight,1466.4,8-11-0,19,8,11,0,42.1,12.5,2025-06-14,258
Erick Montano,Welterweight,1465.6,1-2-0,3,1,2,0,33.3,0.0,2016-11-05,259
Chris Wilson,Welterweight,1464.8,1-3-0,4,1,3,0,25.0,0.0,2009-09-16,260
Jake Ellenberger,Welterweight,1463.7,10-11-0,21,10,11,0,47.6,70.0,2018-08-25,261
Paulo Thiago,Welterweight,1463.3,5-8-0,13,5,8,0,38.5,40.0,2014-09-13,262
Alexander Yakovlev,Welterweight,1463.0,1-4-0,5,1,4,0,20.0,100.0,2016-11-19,263
Steve Berger,Welterweight,1462.9,0-2-1,3,0,2,1,0.0,0.0,2002-06-22,264
Luigi Fioravanti,Welterweight,1462.9,2-4-0,6,2,4,0,33.3,50.0,2009-02-07,264
Richard Walsh,Welterweight,1462.8,2-4-0,6,2,4,0,33.3,0.0,2016-11-26,266
George Sullivan,Welterweight,1462.0,3-4-0,7,3,4,0,42.9,33.3,2018-08-25,267
Preston Parsons,Welterweight,1460.6,2-4-0,6,2,4,0,33.3,0.0,2025-01-11,268
Ben Saunders,Welterweight,1458.9,9-10-0,19,9,10,0,47.4,66.7,2019-12-14,269
Kuniyoshi Hironaka,Welterweight,1458.0,1-3-0,4,1,3,0,25.0,0.0,2008-04-19,270
Niko Price,Welterweight,1457.9,8-10-2,20,8,10,2,40.0,75.0,2026-02-07,271
Salim Touahri,Welterweight,1457.4,0-3-0,3,0,3,0,0.0,0.0,2019-08-03,272
David Mitchell,Welterweight,1456.6,1-4-0,5,1,4,0,20.0,0.0,2013-10-09,273
Dominic Waters,Welterweight,1454.7,0-3-0,3,0,3,0,0.0,0.0,2016-05-08,274
Darian Weeks,Welterweight,1454.3,0-3-0,3,0,3,0,0.0,0.0,2022-09-10,275
Frank Trigg,Welterweight,1452.3,2-5-0,7,2,5,0,28.6,100.0,2010-02-06,276
Brandon Thatch,Welterweight,1452.3,2-4-0,6,2,4,0,33.3,100.0,2016-12-30,276
Takashi Sato,Welterweight,1451.7,2-5-0,7,2,5,0,28.6,100.0,2023-05-20,278
Adam Fugitt,Welterweight,1451.4,2-4-0,6,2,4,0,33.3,50.0,2026-01-24,279
Trevin Giles,Welterweight,1450.3,2-4-0,6,2,4,0,33.3,0.0,2024-11-02,280
Frank Camacho,Welterweight,1449.3,0-3-0,3,0,3,0,0.0,0.0,2018-09-08,281
John Alessio,Welterweight,1448.8,0-3-0,3,0,3,0,0.0,0.0,2006-10-10,282
Mike Rhodes,Welterweight,1448.6,0-3-0,3,0,3,0,0.0,0.0,2014-12-20,283
Yohan Lainesse,Welterweight,1448.3,1-3-0,4,1,3,0,25.0,0.0,2024-01-20,284
William Macario,Welterweight,1447.9,1-3-0,4,1,3,0,25.0,0.0,2015-02-22,285
Kevin Lee,Welterweight,1447.9,0-3-0,3,0,3,0,0.0,0.0,2023-07-01,285
Andre Fialho,Welterweight,1447.9,2-5-0,7,2,5,0,28.6,100.0,2023-09-23,285
Mike Guymon,Welterweight,1447.8,1-3-0,4,1,3,0,25.0,0.0,2011-01-22,288
Blood Diamond,Welterweight,1447.6,0-3-0,3,0,3,0,0.0,0.0,2023-09-09,289
Josh Quinlan,Welterweight,1446.1,0-3-0,3,0,3,0,0.0,0.0,2024-06-15,290
Rhys McKee,Welterweight,1442.0,1-5-0,6,1,5,0,16.7,100.0,2025-09-06,291
Hector Aldana,Welterweight,1441.1,0-3-0,3,0,3,0,0.0,0.0,2019-10-12,292
Sabah Homasi,Welterweight,1439.0,0-3-0,3,0,3,0,0.0,0.0,2018-01-20,293
Zelim Imadaev,Welterweight,1438.7,0-3-0,3,0,3,0,0.0,0.0,2020-09-05,294
Forrest Petz,Welterweight,1437.2,2-5-0,7,2,5,0,28.6,0.0,2010-09-15,295
Brian Camozzi,Welterweight,1434.9,0-3-0,3,0,3,0,0.0,0.0,2018-02-18,296
Bobby Nash,Welterweight,1434.9,0-3-0,3,0,3,0,0.0,0.0,2017-11-25,296
Bobby Voelker,Welterweight,1434.8,0-4-0,4,0,4,0,0.0,0.0,2014-06-07,298
Kiefer Crosbie,Welterweight,1434.2,0-3-0,3,0,3,0,0.0,0.0,2025-08-23,299
Tiki Ghosn,Welterweight,1433.2,0-3-0,3,0,3,0,0.0,0.0,2004-04-02,300
Keith Wisniewski,Welterweight,1432.0,0-4-0,4,0,4,0,0.0,0.0,2013-09-04,301
Jay Hieron,Welterweight,1424.2,0-4-0,4,0,4,0,0.0,0.0,2013-02-02,302
Joshua Burkman,Welterweight,1421.7,5-9-1,15,5,9,1,33.3,40.0,2018-02-18,303
Ricardo Funch,Welterweight,1421.7,0-4-0,4,0,4,0,0.0,0.0,2012-06-22,303
Edgar Garcia,Welterweight,1418.8,0-4-0,4,0,4,0,0.0,0.0,2016-01-02,305
Amanda Nunes,Women's Bantamweight,1676.2,13-2-0,15,13,2,0,86.7,61.5,2023-06-10,1
Raquel Pennington,Women's Bantamweight,1595.9,12-6-0,18,12,6,0,66.7,16.7,2024-10-05,2
Ailin Perez,Women's Bantamweight,1581.8,5-0-0,5,5,0,0,100.0,20.0,2025-01-18,3
Macy Chiasson,Women's Bantamweight,1580.8,6-2-0,8,6,2,0,75.0,66.7,2025-10-04,4
Joselyne Edwards,Women's Bantamweight,1578.2,7-4-0,11,7,4,0,63.6,57.1,2026-02-21,5
Ronda Rousey,Women's Bantamweight,1576.4,6-2-0,8,6,2,0,75.0,100.0,2016-12-30,6
Kayla Harrison,Women's Bantamweight,1573.6,3-0-0,3,3,0,0,100.0,66.7,2025-06-07,7
Germaine de Randamie,Women's Bantamweight,1571.7,6-3-0,9,6,3,0,66.7,66.7,2024-04-06,8
Julianna Pena,Women's Bantamweight,1569.3,8-4-0,12,8,4,0,66.7,50.0,2025-06-07,9
Norma Dumont,Women's Bantamweight,1568.0,4-0-0,4,4,0,0,100.0,0.0,2025-11-01,10
Jacqueline Cavalcanti,Women's Bantamweight,1563.5,4-0-0,4,4,0,0,100.0,0.0,2025-11-08,11
Yana Santos,Women's Bantamweight,1556.6,7-3-0,10,7,3,0,70.0,0.0,2025-10-04,12
Luana Santos,Women's Bantamweight,1556.0,3-0-0,3,3,0,0,100.0,33.3,2025-12-13,13
Karol Rosa,Women's Bantamweight,1552.8,7-3-0,10,7,3,0,70.0,0.0,2025-08-02,14
Irene Aldana,Women's Bantamweight,1549.0,7-6-0,13,7,6,0,53.8,42.9,2024-09-14,15
Alexis Davis,Women's Bantamweight,1544.9,7-3-0,10,7,3,0,70.0,14.3,2022-02-05,16
Aspen Ladd,Women's Bantamweight,1544.9,4-2-0,6,4,2,0,66.7,75.0,2022-04-09,16
Leslie Smith,Women's Bantamweight,1538.4,4-2-0,6,4,2,0,66.7,50.0,2017-07-16,18
Ketlen Vieira,Women's Bantamweight,1538.0,8-5-0,13,8,5,0,61.5,12.5,2025-11-01,19
Valentina Shevchenko,Women's Bantamweight,1534.7,3-2-0,5,3,2,0,60.0,33.3,2017-09-09,20
Holly Holm,Women's Bantamweight,1532.2,7-5-1,13,7,5,1,53.8,28.6,2024-04-13,21
Miesha Tate,Women's Bantamweight,1529.1,7-6-0,13,7,6,0,53.8,42.9,2025-05-03,22
Cat Zingano,Women's Bantamweight,1519.0,3-3-0,6,3,3,0,50.0,66.7,2018-07-14,23
Montse Rendon,Women's Bantamweight,1516.3,2-1-0,3,2,1,0,66.7,0.0,2025-09-13,24
Katlyn Cerminara,Women's Bantamweight,1513.7,2-1-0,3,2,1,0,66.7,0.0,2017-04-08,25
Sara McMann,Women's Bantamweight,1511.9,7-6-0,13,7,6,0,53.8,42.9,2022-03-26,26
Daria Zhelezniakova,Women's Bantamweight,1511.7,2-1-0,3,2,1,0,66.7,0.0,2025-06-21,27
Bea Malecki,Women's Bantamweight,1511.2,2-1-0,3,2,1,0,66.7,50.0,2021-08-21,28
Klaudia Sygula,Women's Bantamweight,1509.3,2-1-0,3,2,1,0,66.7,0.0,2026-02-07,29
Mayra Bueno Silva,Women's Bantamweight,1508.8,3-3-1,7,3,3,1,42.9,66.7,2025-11-08,30
Nora Cornolle,Women's Bantamweight,1506.5,3-3-0,6,3,3,0,50.0,66.7,2026-02-21,31
Liz Carmouche,Women's Bantamweight,1503.0,3-3-0,6,3,3,0,50.0,33.3,2016-11-12,32
Melissa Mullins,Women's Bantamweight,1500.5,2-2-0,4,2,2,0,50.0,50.0,2025-06-21,33
Julia Avila,Women's Bantamweight,1499.0,3-3-0,6,3,3,0,50.0,66.7,2025-02-15,34
Jessica Andrade,Women's Bantamweight,1496.9,4-3-0,7,4,3,0,57.1,25.0,2015-09-05,35
Pannie Kianzad,Women's Bantamweight,1494.6,5-5-0,10,5,5,0,50.0,0.0,2024-08-10,36
Lucie Pudilova,Women's Bantamweight,1488.0,3-4-0,7,3,4,0,42.9,33.3,2023-11-18,37
Tainara Lisboa,Women's Bantamweight,1486.7,2-2-0,4,2,2,0,50.0,50.0,2025-10-18,38
Priscila Cachoeira,Women's Bantamweight,1482.5,2-3-0,5,2,3,0,40.0,100.0,2026-02-07,39
Marion Reneau,Women's Bantamweight,1481.3,5-7-1,13,5,7,1,38.5,80.0,2021-07-17,40
Lauren Murphy,Women's Bantamweight,1477.9,1-3-0,4,1,3,0,25.0,100.0,2016-07-13,41
Julija Stoliarenko,Women's Bantamweight,1477.3,1-3-0,4,1,3,0,25.0,100.0,2022-07-02,42
Chelsea Chandler,Women's Bantamweight,1477.2,1-2-0,3,1,2,0,33.3,0.0,2025-04-26,43
Sarah Kaufman,Women's Bantamweight,1476.9,1-2-1,4,1,2,1,25.0,0.0,2015-12-19,44
Sijara Eubanks,Women's Bantamweight,1475.7,2-4-0,6,2,4,0,33.3,0.0,2020-12-19,45
Elizabeth Phillips,Women's Bantamweight,1471.8,1-3-0,4,1,3,0,25.0,0.0,2016-08-20,46
Vanessa Melo,Women's Bantamweight,1471.8,1-3-0,4,1,3,0,25.0,0.0,2021-01-16,46
Josiane Nunes,Women's Bantamweight,1469.3,1-3-0,4,1,3,0,25.0,100.0,2025-03-15,48
Bethe Correia,Women's Bantamweight,1468.8,5-6-1,12,5,6,1,41.7,20.0,2021-10-02,49
Milana Dudieva,Women's Bantamweight,1468.8,1-2-0,3,1,2,0,33.3,0.0,2016-11-19,49
Stephanie Egger,Women's Bantamweight,1468.6,2-4-0,6,2,4,0,33.3,100.0,2023-12-09,51
Irina Alekseeva,Women's Bantamweight,1466.7,1-3-0,4,1,3,0,25.0,100.0,2025-10-11,52
Jessamyn Duke,Women's Bantamweight,1458.6,1-3-0,4,1,3,0,25.0,0.0,2015-07-25,53
Tamires Vidal,Women's Bantamweight,1458.6,1-3-0,4,1,3,0,25.0,100.0,2024-10-19,53
Lina Lansberg,Women's Bantamweight,1458.2,4-6-0,10,4,6,0,40.0,0.0,2023-02-18,55
Talita Bernardo,Women's Bantamweight,1456.5,1-3-0,4,1,3,0,25.0,0.0,2019-05-11,56
Jessica Eye,Women's Bantamweight,1451.6,1-5-1,7,1,5,1,14.3,100.0,2016-09-10,57
Jessica-Rose Clark,Women's Bantamweight,1449.6,2-4-0,6,2,4,0,33.3,50.0,2023-05-13,58
Sarah Moras,Women's Bantamweight,1449.0,2-6-0,8,2,6,0,25.0,100.0,2021-01-16,59
Ashlee Evans-Smith,Women's Bantamweight,1447.9,2-5-0,7,2,5,0,28.6,50.0,2023-07-15,60
Gina Mazany,Women's Bantamweight,1436.0,1-4-0,5,1,4,0,20.0,0.0,2020-06-13,61
Wu Yanan,Women's Bantamweight,1432.4,0-4-0,4,0,4,0,0.0,0.0,2022-08-20,62
Amanda Nunes,Women's Featherweight,1567.3,3-0-0,3,3,0,0,100.0,66.7,2021-03-06,1
Cristiane Justino,Women's Featherweight,1547.1,4-1-0,5,4,1,0,80.0,50.0,2019-07-27,2
Norma Dumont,Women's Featherweight,1540.6,5-2-0,7,5,2,0,71.4,0.0,2023-07-15,3
Felicia Spencer,Women's Featherweight,1522.0,3-3-0,6,3,3,0,50.0,100.0,2021-11-13,4
Megan Anderson,Women's Featherweight,1508.7,3-3-0,6,3,3,0,50.0,100.0,2021-03-06,5
Macy Chiasson,Women's Featherweight,1498.2,2-2-0,4,2,2,0,50.0,50.0,2025-05-31,6
Holly Holm,Women's Featherweight,1487.2,1-2-0,3,1,2,0,33.3,0.0,2018-06-09,7
Zarah Fairn,Women's Featherweight,1440.0,0-3-0,3,0,3,0,0.0,0.0,2023-01-21,8
Valentina Shevchenko,Women's Flyweight,1670.5,12-1-1,14,12,1,1,85.7,41.7,2025-11-15,1
Erin Blanchfield,Women's Flyweight,1631.1,8-1-0,9,8,1,0,88.9,50.0,2025-11-15,2
Manon Fiorot,Women's Flyweight,1628.3,8-1-0,9,8,1,0,88.9,37.5,2025-10-18,3
Natalia Silva,Women's Flyweight,1627.5,8-0-0,8,8,0,0,100.0,25.0,2026-01-24,4
Maycee Barber,Women's Flyweight,1627.1,9-2-0,11,9,2,0,81.8,33.3,2025-12-06,5
Miranda Maverick,Women's Flyweight,1573.0,8-4-0,12,8,4,0,66.7,37.5,2025-06-14,6
Alexa Grasso,Women's Flyweight,1572.9,5-2-1,8,5,2,1,62.5,40.0,2025-05-10,7
Jasmine Jasudavicius,Women's Flyweight,1567.5,7-3-0,10,7,3,0,70.0,28.6,2025-10-18,8
Karine Silva,Women's Flyweight,1564.1,5-2-0,7,5,2,0,71.4,60.0,2025-12-06,9
Gillian Robertson,Women's Flyweight,1560.6,8-5-0,13,8,5,0,61.5,87.5,2022-09-17,10
Casey O'Neill,Women's Flyweight,1551.2,5-2-0,7,5,2,0,71.4,60.0,2024-08-17,11
Katlyn Cerminara,Women's Flyweight,1547.8,9-5-0,14,9,5,0,64.3,0.0,2024-03-09,12
Lauren Murphy,Women's Flyweight,1545.8,7-4-0,11,7,4,0,63.6,28.6,2025-07-12,13
Carli Judice,Women's Flyweight,1544.6,3-1-0,4,3,1,0,75.0,66.7,2026-02-21,14
Luana Carolina,Women's Flyweight,1534.9,6-3-0,9,6,3,0,66.7,16.7,2024-07-20,15
Taila Santos,Women's Flyweight,1534.4,4-3-0,7,4,3,0,57.1,25.0,2023-08-26,16
Veronica Hardy,Women's Flyweight,1534.1,5-3-0,8,5,3,0,62.5,20.0,2025-10-04,17
Luana Santos,Women's Flyweight,1528.8,2-1-0,3,2,1,0,66.7,100.0,2024-08-17,18
Sijara Eubanks,Women's Flyweight,1527.9,3-1-0,4,3,1,0,75.0,33.3,2021-12-18,19
Jamey-Lyn Horth,Women's Flyweight,1527.9,3-2-0,5,3,2,0,60.0,33.3,2025-12-13,19
Gabriella Fernandes,Women's Flyweight,1527.1,3-2-0,5,3,2,0,60.0,33.3,2025-08-09,21
Tracy Cortez,Women's Flyweight,1526.8,4-2-0,6,4,2,0,66.7,0.0,2025-11-15,22
JJ Aldrich,Women's Flyweight,1526.6,7-5-0,12,7,5,0,58.3,14.3,2025-03-01,23
Wang Cong,Women's Flyweight,1526.4,3-1-0,4,3,1,0,75.0,33.3,2025-06-07,24
Jennifer Maia,Women's Flyweight,1522.1,6-6-0,12,6,6,0,50.0,16.7,2023-10-14,25
Montana De La Rosa,Women's Flyweight,1519.2,6-5-1,12,6,5,1,50.0,66.7,2024-06-08,26
