fighter,weight_class,elo,record,fights,wins,losses,draws,win_rate,finish_rate,last_fight,rank
Yosdenis Cedeno,Lightweight,1475.9,1-3-0,4,1,3,0,25.0,100.0,2015-07-11,225
George Roop,Lightweight,1475.7,1-2-0,3,1,2,0,33.3,0.0,2009-08-08,226
Darrell Horcher,Lightweight,1475.4,1-2-0,3,1,2,0,33.3,0.0,2018-11-30,227
Jorge Gurgel,Lightweight,1474.7,3-4-0,7,3,4,0,42.9,0.0,2008-11-15,228
Isaac Vallie-Flagg,Lightweight,1474.2,1-3-0,4,1,3,0,25.0,0.0,2014-11-22,229
Frankie Perez,Lightweight,1474.1,1-3-0,4,1,3,0,25.0,100.0,2017-07-22,230
Jamie Mullarkey,Lightweight,1473.5,6-7-0,13,6,7,0,46.2,33.3,2026-01-31,231
Jai Herbert,Lightweight,1473.1,3-5-1,9,3,5,1,33.3,33.3,2025-03-22,232
Jason Dent,Lightweight,1472.9,1-3-0,4,1,3,0,25.0,100.0,2009-11-21,233
Duane Ludwig,Lightweight,1472.5,1-2-0,3,1,2,0,33.3,0.0,2010-03-21,234
Kurt Holobaugh,Lightweight,1472.4,2-4-0,6,2,4,0,33.3,50.0,2025-05-31,235
Akbarh Arreola,Lightweight,1472.3,1-3-0,4,1,3,0,25.0,100.0,2015-11-14,236
Andre Winner,Lightweight,1472.2,2-4-0,6,2,4,0,33.3,50.0,2011-07-02,237
Sam Stout,Lightweight,1472.1,9-10-0,19,9,10,0,47.4,11.1,2015-08-23,238
Ottman Azaitar,Lightweight,1471.7,2-3-0,5,2,3,0,40.0,100.0,2024-12-14,239
Khama Worthy,Lightweight,1471.4,2-3-0,5,2,3,0,40.0,100.0,2021-10-23,240
Alex White,Lightweight,1470.9,2-4-0,6,2,4,0,33.3,50.0,2019-10-26,241
Anshul Jubli,Lightweight,1470.8,1-2-0,3,1,2,0,33.3,100.0,2025-02-08,242
Mike Breeden,Lightweight,1470.6,1-3-0,4,1,3,0,25.0,100.0,2023-10-21,243
Piotr Hallmann,Lightweight,1470.4,2-4-0,6,2,4,0,33.3,100.0,2015-11-07,244
Ricky Glenn,Lightweight,1470.4,1-3-1,5,1,3,1,20.0,100.0,2023-10-07,244
Frank Camacho,Lightweight,1470.1,2-3-0,5,2,3,0,40.0,50.0,2022-05-14,246
Corey Hill,Lightweight,1469.9,1-2-0,3,1,2,0,33.3,100.0,2008-12-10,247
Damien Brown,Lightweight,1468.9,2-4-0,6,2,4,0,33.3,50.0,2018-02-10,248
Damir Hadzovic,Lightweight,1468.2,4-6-0,10,4,6,0,40.0,50.0,2025-02-01,249
Dong Hyun Ma,Lightweight,1468.1,3-4-0,7,3,4,0,42.9,33.3,2019-12-21,250
Marcin Held,Lightweight,1468.0,1-3-0,4,1,3,0,25.0,0.0,2017-10-21,251
Maheshate,Lightweight,1467.9,2-4-0,6,2,4,0,33.3,50.0,2025-08-23,252
Marcus LeVesseur,Lightweight,1467.5,1-2-0,3,1,2,0,33.3,0.0,2012-12-08,253
Alex Da Silva,Lightweight,1466.8,1-3-0,4,1,3,0,25.0,0.0,2022-06-04,254
Caol Uno,Lightweight,1465.8,3-5-2,10,3,5,2,30.0,33.3,2010-03-31,255
Justin Salas,Lightweight,1464.0,3-4-0,7,3,4,0,42.9,33.3,2016-03-05,256
Shane Roller,Lightweight,1463.9,2-4-0,6,2,4,0,33.3,50.0,2012-10-05,257
Cristiano Marcello,Lightweight,1463.9,1-3-0,4,1,3,0,25.0,0.0,2014-02-15,257
Teemu Packalen,Lightweight,1463.9,1-3-0,4,1,3,0,25.0,100.0,2019-09-07,257
Kazula Vargas,Lightweight,1463.9,1-3-0,4,1,3,0,25.0,0.0,2022-03-19,257
Gilbert Melendez,Lightweight,1463.1,1-4-0,5,1,4,0,20.0,0.0,2016-07-23,261
Aaron Riley,Lightweight,1462.4,3-4-0,7,3,4,0,42.9,0.0,2013-07-27,262
Rodrigo Damm,Lightweight,1461.8,1-3-0,4,1,3,0,25.0,0.0,2015-01-03,263
Kazuki Tokudome,Lightweight,1460.9,1-3-0,4,1,3,0,25.0,0.0,2014-09-20,264
Andrew Holbrook,Lightweight,1459.9,2-3-0,5,2,3,0,40.0,0.0,2017-09-02,265
Jeremy Stephens,Lightweight,1459.7,7-10-0,17,7,10,0,41.2,57.1,2025-05-03,266
Jason Gonzalez,Lightweight,1459.0,1-3-0,4,1,3,0,25.0,100.0,2019-04-27,267
Joshua Burkman,Lightweight,1458.9,1-3-0,4,1,3,0,25.0,0.0,2017-07-29,268
Viacheslav Borshchev,Lightweight,1456.7,3-6-1,10,3,6,1,30.0,66.7,2025-11-15,269
Cody Pfister,Lightweight,1455.5,1-3-0,4,1,3,0,25.0,0.0,2016-07-13,270
Pat Healy,Lightweight,1455.3,0-4-1,5,0,4,1,0.0,0.0,2014-07-16,271
Roger Bowling,Lightweight,1455.0,0-2-1,3,0,2,1,0.0,0.0,2013-12-14,272
Shane Campbell,Lightweight,1454.3,1-3-0,4,1,3,0,25.0,0.0,2016-08-27,273
Yancy Medeiros,Lightweight,1454.2,3-7-1,11,3,7,1,27.3,66.7,2021-06-26,274
Mike Rio,Lightweight,1454.0,1-3-0,4,1,3,0,25.0,100.0,2014-01-25,275
Diego Saraiva,Lightweight,1453.3,0-3-0,3,0,3,0,0.0,0.0,2007-09-22,276
Will Brooks,Lightweight,1452.8,1-3-0,4,1,3,0,25.0,0.0,2017-11-18,277
Fabricio Camoes,Lightweight,1452.6,1-4-1,6,1,4,1,16.7,100.0,2014-10-25,278
Christos Giagos,Lightweight,1451.4,5-8-0,13,5,8,0,38.5,60.0,2024-04-06,279
Mac Danzig,Lightweight,1451.3,4-8-0,12,4,8,0,33.3,50.0,2013-12-14,280
Alvin Robinson,Lightweight,1450.9,1-3-0,4,1,3,0,25.0,0.0,2008-11-15,281
Dan Moret,Lightweight,1448.0,0-3-0,3,0,3,0,0.0,0.0,2019-06-29,282
Matt Grice,Lightweight,1446.8,1-3-0,4,1,3,0,25.0,0.0,2009-07-11,283
Jamie Varner,Lightweight,1446.5,3-6-0,9,3,6,0,33.3,66.7,2014-12-13,284
Nate Mohr,Lightweight,1446.3,1-3-0,4,1,3,0,25.0,0.0,2009-01-17,285
Mitch Clarke,Lightweight,1446.3,2-5-0,7,2,5,0,28.6,50.0,2017-09-09,285
Garett Whiteley,Lightweight,1445.8,0-3-0,3,0,3,0,0.0,0.0,2014-12-13,287
Kyle Prepolec,Lightweight,1445.8,0-3-0,3,0,3,0,0.0,0.0,2025-10-18,287
Phillipe Nover,Lightweight,1445.5,0-3-0,3,0,3,0,0.0,0.0,2010-02-06,289
Genaro Valdez,Lightweight,1444.2,0-3-0,3,0,3,0,0.0,0.0,2023-07-15,290
Dan Lauzon,Lightweight,1443.3,0-3-0,3,0,3,0,0.0,0.0,2010-05-29,291
Justin Buchholz,Lightweight,1443.3,1-4-0,5,1,4,0,20.0,100.0,2010-02-06,291
Austin Hubbard,Lightweight,1443.0,4-8-0,12,4,8,0,33.3,25.0,2025-08-23,293
Kamal Shalorus,Lightweight,1441.8,0-3-0,3,0,3,0,0.0,0.0,2012-05-15,294
Lukasz Sajewski,Lightweight,1441.8,0-3-0,3,0,3,0,0.0,0.0,2016-10-08,294
Gabe Ruediger,Lightweight,1437.5,0-3-0,3,0,3,0,0.0,0.0,2011-02-05,296
Thibault Gouti,Lightweight,1437.1,1-5-0,6,1,5,0,16.7,100.0,2018-10-27,297
Erick Gonzalez,Lightweight,1436.1,0-3-0,3,0,3,0,0.0,0.0,2023-02-25,298
Charlie Brenneman,Lightweight,1434.7,0-3-0,3,0,3,0,0.0,0.0,2014-11-08,299
Jake Lindsey,Lightweight,1432.9,0-3-0,3,0,3,0,0.0,0.0,2015-03-14,300
Rafaello Oliveira,Lightweight,1428.4,2-6-0,8,2,6,0,25.0,0.0,2014-02-22,301
Fabiano Iha,Lightweight,1427.3,0-4-0,4,0,4,0,0.0,0.0,2001-09-28,302
Takanori Gomi,Lightweight,1419.9,4-9-0,13,4,9,0,30.8,50.0,2017-09-22,303
Jesse Ronson,Lightweight,1413.1,0-5-0,5,0,5,0,0.0,0.0,2022-10-01,304
Naoyuki Kotani,Lightweight,1409.9,0-5-0,5,0,5,0,0.0,0.0,2015-09-26,305
Brendan Allen,Middleweight,1673.9,13-3-0,16,13,3,0,81.2,61.5,2025-10-18,1
Dricus Du Plessis,Middleweight,1673.9,9-1-0,10,9,1,0,90.0,66.7,2025-08-16,1
Nassourdine Imavov,Middleweight,1670.4,9-1-1,11,9,1,1,81.8,44.4,2025-09-06,3
